,Unnamed: 0,Unnamed: 0.1,REGION,N_ALL,N_GIVEN,N_EARLY,N_IN,N_OUT,N_LEFT,N_PORTABLE,N_STATIC,N_INVALID,N_VALID,N_LOST,N_UNUSED,BABURIN,GRUDININ,ZHIRINOVSKY,PUTIN,SOBCHAK,SURAYKIN,TITOV,YAVLINSKY,N_VOTED,TURNOUT
75,75,75,Тюменская область,1068796,1031045,2951,807397,33204,187489,36153,806945,7152,835946,4,0,4543,69294,64367,672385,11723,4249,4577,4808,843552,0.7892544508025854
76,76,76,Ульяновская область,1000022,953291,0,590660,52700,309931,52691,590457,7023,636125,0,0,3972,94809,40028,477654,7146,4752,4197,3567,643360,0.6433458463913794
77,77,77,Челябинская область,2632596,2438638,0,1641894,106530,690200,106525,1641126,27234,1720417,16,2,13468,227134,121670,1275822,31326,13243,16181,21573,1748424,0.6641444414562659
78,78,78,Ярославская область,1026447,938364,0,606776,51432,280156,51428,606512,6636,651304,0,0,5329,85256,49621,472666,15607,4377,6710,11738,658208,0.6412488905905517
79,79,79,город Москва,7543682,6191308,0,4348576,172779,1669889,172356,4341791,66234,4447913,79,15,43298,563429,211890,3199214,184144,32639,70301,142998,4521355,0.5993565211258906
80,80,80,город Санкт-Петербург,3632398,3394221,1795,2248088,70251,1073986,71976,2241482,28951,2284507,114,13,20450,209112,94569,1735236,100059,15295,36254,73532,2320134,0.6387334207319793
81,81,81,город Севастополь,339010,288290,633,233869,7674,46110,8279,233777,2040,240016,5,1,576,8698,6988,218303,3083,569,896,903,242176,0.714362408188549
82,82,82,Еврейская автономная область,128844,120568,106,73398,4123,42941,4229,73381,1331,76279,0,0,501,14066,7387,52374,771,404,407,369,77627,0.6024882804011052
83,83,83,Ненецкий автономный округ,39470,33688,6116,18414,579,8579,6695,18412,267,24840,0,0,185,3397,2482,17863,448,135,172,158,25109,0.6361540410438308
84,84,84,Ханты-Мансийский автономный округ - Югра,1130343,1095884,26633,745638,15804,307809,42426,745474,10824,777076,0,0,3916,94785,53569,600404,10884,4095,4363,5060,788075,0.6971998764976649
85,85,85,Чукотский автономный округ,33541,32298,2531,24193,874,4700,3405,24186,293,27298,0,0,115,1616,2018,22709,358,142,180,160,27598,0.8228138695924391
86,86,86,Ямало-Ненецкий автономный округ,370823,372171,41135,295648,4008,31380,45143,295540,2616,338067,0,0,1052,19488,19409,291409,2394,1794,1154,1367,340791,0.9190125747324195
